#Domain,Functions
00.000000000,00.500000000
00.010000000,00.497008982
00.050000000,00.485222767
00.210000000,00.440807424
00.850000000,00.300247706
01.560263442,00.196065591
01.635761232,00.187383333
01.678870958,00.182614826
01.726337877,00.177715382
01.770041040,00.174890372
01.817556571,00.181904501
01.861217758,00.223024000
01.895566604,00.311195920
01.931533481,00.488404153
01.969979392,00.781924183
02.011144442,01.161376503
02.054349239,01.514874755
02.103895857,01.750373674
02.158647934,01.815055586
02.214230749,01.783233161
02.298899402,01.698723918
02.381036962,01.617096906
02.526319315,01.482104974
03.039093992,01.089586731
03.747573107,00.712276230
04.458684662,00.464888861
05.169827620,00.303418213
05.880970951,00.198031399
06.592114287,00.129248783
07.303257623,00.084356562
08.014400960,00.055056840
08.725544296,00.035933845
09.436687632,00.023452875
10.000000000,00.016726688
